Date/Time,time,sol_rad,To,To-Ti,Ti,TC,See_interface_prob,Beh_Interface,Info_prov,Info,Info_prob,Tset_prev,Tset_update,Beh_setpoint,Setpoint_dif,Tset-T1
2000-06-01 0:00,0,0,19.75,-6.25,26,0,0,0,0,0,0,28,28,0,0,2
2000-06-01 0:10,1,0,19.5,-6.4375,25.9375,0,0,0,0,0,0,28,28,0,0,2.0625
2000-06-01 0:20,2,0,19.25,-6.623125,25.873125,0,0,0,0,0,0,28,28,0,0,2.126875
2000-06-01 0:30,3,0,19,-6.80689375,25.80689375,0,0,0,0,0,0,28,28,0,0,2.19310625
2000-06-01 0:40,4,0,18.75,-6.988824813,25.73882481,0,0,0,0,0,0,28,28,0,0,2.261175188
2000-06-01 0:50,5,0,18.5,-7.168936564,25.66893656,0,0,0,0,0,0,28,28,0,0,2.331063436
2000-06-01 1:00,6,0,18.5167,-7.080547199,25.5972472,0,0,0,0,0,0,28,28,0,0,2.402752801
2000-06-01 1:10,7,0,18.5333,-6.993141727,25.52644173,0,0,0,0,0,0,28,28,0,0,2.473558273
2000-06-01 1:20,8,0,18.55,-6.906510309,25.45651031,0,0,0,0,0,0,28,28,0,0,2.543489691
2000-06-01 1:30,9,0,18.5667,-6.820745206,25.38744521,0,0,0,0,0,0,28,28,0,0,2.612554794
2000-06-01 1:40,10,0,18.5833,-6.735937754,25.31923775,0,0,0,0,0,0,28,28,0,0,2.680762246
2000-06-01 1:50,11,0,18.6,-6.651878377,25.25187838,0,0,0,0,0,0,28,28,0,0,2.748121623
2000-06-01 2:00,12,0,18.5667,-6.618659593,25.18535959,0,0,0,0,0,0,28,28,0,0,2.814640407
2000-06-01 2:10,13,0,18.5333,-6.585872997,25.119173,0,0,0,0,0,0,28,28,0,0,2.880827003
2000-06-01 2:20,14,0,18.5,-6.553314267,25.05331427,0,0,0,0,0,0,28,28,0,0,2.946685733
2000-06-01 2:30,15,0,18.4667,-6.521081124,24.98778112,-1,0.2,0,0,0,0,28,28,0,0,3.012218876
2000-06-01 2:40,16,0,18.4333,-6.489270313,24.92257031,-1,0.2,1,0.5,1,0.8,28,27,1,-1,2.077429687
2000-06-01 2:50,17,0,18.4,-6.45767761,24.85767761,-1,0.2,0,0,0,0,27,27,0,0,2.14232239
2000-06-01 3:00,18,0,18.35,-6.443100834,24.79310083,-1,0.2,0,0,0,0,27,27,0,0,2.206899166
2000-06-01 3:10,19,0,18.3,-6.428669826,24.72866983,-1,0.2,0,0,0,0,27,27,0,0,2.271330174
2000-06-01 3:20,20,0,18.25,-6.414383127,24.66438313,-1,0.2,0,0,0,0,27,27,0,0,2.335616873
2000-06-01 3:30,21,0,18.2,-6.400239296,24.6002393,-1,0.2,0,0,0,0,27,27,0,0,2.399760704
2000-06-01 3:40,22,0,18.15,-6.386236903,24.5362369,-1,0.2,0,0,0,0,27,27,0,0,2.463763097
2000-06-01 3:50,23,0,18.1,-6.372374534,24.47237453,-1,0.2,0,0,0,0,27,28,0,1,3.527625466
2000-06-01 4:00,24,0,18.0833,-6.325350789,24.40865079,-1,0.2,0,0,0,0,28,28,0,0,3.591349211
2000-06-01 4:10,25,0,18.0667,-6.278697281,24.34539728,-1,0.2,0,0,0,0,28,28,0,0,3.654602719
2000-06-01 4:20,26,0,18.05,-6.232610308,24.28261031,-1,0.2,0,0,0,0,28,28,0,0,3.717389692
